"","label_group_var_value_1","% d'enfants un an avant l'âge d'entrée à l'école primaire fréquentant un programme d'éducation préscolaire ou l'école primaire %/% Ensemble","% d'enfants un an avant l'âge d'entrée à l'école primaire fréquentant un programme d'éducation préscolaire ou l'école primaire %/% Filles","% d'enfants un an avant l'âge d'entrée à l'école primaire fréquentant un programme d'éducation préscolaire ou l'école primaire %/% Garcons","% d'enfants un an avant l'âge d'entrée à l'école primaire fréquentant l'école primaire %/% Ensemble","% d'enfants un an avant l'âge d'entrée à l'école primaire fréquentant l'école primaire %/% Filles","% d'enfants un an avant l'âge d'entrée à l'école primaire fréquentant l'école primaire %/% Garcons","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Ensemble","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Filles","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Garcons"
"1","Ouest","5","5","5","4","4","4","5","5","5"
"2","Sud-Est","5","5","5","4","4","4","4","4","5"
"3","Nord","5","5","5","4","4","4","5","5","5"
"4","Nord-Est","4","4","4","3","3","3","4","4","5"
"5","Artibonite","4","4","4","4","4","3","5","5","5"
"6","Centre","5","5","3","3","3","3","4","4","4"
"7","Sud","5","5","5","4","4","4","5","5","5"
"8","Grande'Anse","5","4","5","4","3","4","5","5","5"
"9","Nord-Ouest","4","4","4","3","2","3","4","4","4"
"10","Nippes","5","5","5","5","5","5","5","5","5"
