"","label_group_var_value_1","% d'enfants en âge de fréquenter l'école primaire ou plus %/% Ensemble","% d'enfants en âge de fréquenter l'école primaire ou plus %/% Filles","% d'enfants en âge de fréquenter l'école primaire ou plus %/% Garcons","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Ensemble","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Filles","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Garcons"
"1","Ouest","5","5","5","5","5","5"
"2","Sud-Est","5","5","5","5","5","5"
"3","Nord","5","5","5","5","5","5"
"4","Nord-Est","5","5","5","5","5","5"
"5","Artibonite","5","5","5","5","5","5"
"6","Centre","4","4","4","4","5","4"
"7","Sud","5","5","5","5","5","5"
"8","Grande'Anse","5","5","5","5","5","5"
"9","Nord-Ouest","4","4","4","5","5","4"
"10","Nippes","5","5","5","5","5","5"
