"","label_group_var_value_1","% d'enfants en âge de niveau intermédiaire actuellement scolarisés au niveau intermédiaire ou plus %/% Ensemble","% d'enfants en âge de niveau intermédiaire actuellement scolarisés au niveau intermédiaire ou plus %/% Filles","% d'enfants en âge de niveau intermédiaire actuellement scolarisés au niveau intermédiaire ou plus %/% Garcons","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Ensemble","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Filles","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Garcons"
"1","Ouest","4","4","3","5","5","5"
"2","Sud-Est","3","4","3","5","5","5"
"3","Nord","3","3","3","5","5","5"
"4","Nord-Est","3","3","3","5","5","5"
"5","Artibonite","3","3","3","5","5","5"
"6","Centre","3","3","3","5","4","5"
"7","Sud","3","3","2","5","5","5"
"8","Grande'Anse","3","4","3","5","5","5"
"9","Nord-Ouest","4","4","3","5","5","5"
"10","Nippes","4","4","4","5","5","5"
