"","label_group_var_value_1","% d'enfants en âge de secondaire actuellement scolarisés au secondaire ou plus %/% Ensemble","% d'enfants en âge de secondaire actuellement scolarisés au secondaire ou plus %/% Filles","% d'enfants en âge de secondaire actuellement scolarisés au secondaire ou plus %/% Garcons","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Ensemble","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Filles","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Garcons"
"1","Ouest","3","3","3","5","5","4"
"2","Sud-Est","2","3","2","4","4","5"
"3","Nord","3","3","3","5","5","5"
"4","Nord-Est","2","2","3","4","4","4"
"5","Artibonite","3","3","3","4","4","4"
"6","Centre","2","2","2","4","4","4"
"7","Sud","3","3","2","4","5","4"
"8","Grande'Anse","2","3","2","5","5","5"
"9","Nord-Ouest","3","3","2","4","5","4"
"10","Nippes","3","3","3","5","4","5"
