"","label_group_var_value_1","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Ensemble","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Filles","% d'enfants en âge scolaire ayant fréquenté l'école ou un programme d'éducation pré-primaire en 2023-2024 %/% Garcons","% d'enfants avec 2 ans de plus que l'âge prévu : primaire %/% Ensemble","% d'enfants avec 2 ans de plus que l'âge prévu : primaire %/% Filles","% d'enfants avec 2 ans de plus que l'âge prévu : primaire %/% Garcons","% d'enfants avec 2 ans de plus que l'âge prévu : secondaire %/% Ensemble","% d'enfants avec 2 ans de plus que l'âge prévu : secondaire %/% Filles","% d'enfants avec 2 ans de plus que l'âge prévu : secondaire %/% Garcons"
"1","Ouest","5","5","5","2","2","2","2","2","2"
"2","Sud-Est","5","5","5","2","2","2","2","2","2"
"3","Nord","5","5","5","2","2","2","2","2","2"
"4","Nord-Est","5","5","5","2","2","2","2","2","2"
"5","Artibonite","5","5","5","2","2","2","2","2","2"
"6","Centre","4","4","4","2","2","2","2","2","2"
"7","Sud","5","5","5","2","2","2","2","2","2"
"8","Grande'Anse","5","5","5","2","2","3","2","2","2"
"9","Nord-Ouest","5","5","5","2","2","2","2","2","2"
"10","Nippes","5","5","5","2","2","2","2","2","2"
